Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
1.0,12610.0,-7590.3199999999997,-2954.3699999999999,868.62900000000002,4592.2299999999996,-3349.6300000000001,1658.99
2.0,12548.9,-7962.3500000000004,-2946.96,1307.1300000000001,4694.8699999999999,-2696.8299999999999,1283.5999999999999
3.0,12361.1,-8119.5299999999997,-2871.5599999999999,1621.22,4688.3999999999996,-2082.4899999999998,919.82000000000005
4.0,12178.6,-8279.7199999999993,-2796.8699999999999,1918.45,4611.0,-1368.6400000000001,504.93099999999998
5.0,11850.9,-8186.1599999999999,-2649.4099999999999,2197.9099999999999,4421.4300000000003,-512.952,73.763999999999996
6.0,10964.9,-7515.6499999999996,-2375.4299999999998,2204.3499999999999,4035.9099999999999,280.28199999999998,-251.94300000000001
7.0,9484.8199999999997,-6337.3199999999997,-1935.0999999999999,1895.02,3470.1900000000001,834.34799999999996,-528.00999999999999
8.0,8123.4200000000001,-5277.6899999999996,-1591.7,1481.8699999999999,2909.8899999999999,1238.0799999999999,-736.30200000000002
9.0,7203.6000000000004,-4542.7200000000003,-1389.99,1168.8199999999999,2497.48,1481.6099999999999,-824.55700000000002
10.0,6561.6000000000004,-4042.1999999999998,-1243.29,946.45899999999995,2210.1999999999998,1574.51,-857.23400000000004
11.0,6377.71,-3785.02,-1160.1700000000001,846.55999999999995,2058.2800000000002,1748.6700000000001,-932.375
12.0,6771.0699999999997,-3730.1100000000001,-1147.6700000000001,846.13999999999999,2041.4300000000001,2142.3200000000002,-1122.99
13.0,7580.0799999999999,-3730.04,-1167.4400000000001,909.03599999999994,2084.98,2720.4200000000001,-1415.8800000000001
14.0,8597.3299999999999,-3630.29,-1171.9300000000001,978.10900000000004,2118.7399999999998,3438.9099999999999,-1733.6700000000001
15.0,9415.7299999999996,-3323.8400000000001,-1141.26,786.01800000000003,2001.3,4137.04,-2050.2600000000002
16.0,9762.4500000000007,-2509.4000000000001,-970.51099999999997,263.01999999999998,1687.8199999999999,4671.6400000000003,-2272.9099999999999
17.0,10035.6,-1627.25,-838.27099999999996,-383.20499999999998,1351.8900000000001,5037.4399999999996,-2443.6900000000001
18.0,10404.299999999999,-942.17399999999998,-730.83299999999997,-910.05100000000004,1085.0699999999999,5308.8500000000004,-2590.1999999999998
19.0,10585.0,-207.06399999999999,-630.86900000000003,-1617.03,820.04399999999998,5405.2600000000002,-2633.3600000000001
20.0,10343.5,685.53700000000003,-482.899,-2459.6900000000001,450.24900000000002,5134.3000000000002,-2563.4499999999998
21.0,9631.1499999999996,1560.3900000000001,-300.36000000000001,-3023.3400000000001,70.879199999999997,4493.0600000000004,-2326.4699999999998
22.0,8666.6299999999992,2108.8200000000002,-172.98599999999999,-3128.1399999999999,-196.47300000000001,3753.8000000000002,-2003.24
23.0,7730.0500000000002,2335.2600000000002,-140.602,-2999.98,-361.851,3127.3499999999999,-1696.52
24.0,6922.1899999999996,2438.5100000000002,-108.068,-2861.5799999999999,-446.91699999999997,2586.1999999999998,-1434.5
25.0,6309.4099999999999,2495.3299999999999,-41.645000000000003,-2820.1799999999998,-486.72399999999999,2102.4699999999998,-1242.48
26.0,5916.04,2498.04,-15.513299999999999,-2850.1399999999999,-490.29700000000003,1739.1400000000001,-1114.53
27.0,10636.0,-6297.3199999999997,-2835.6300000000001,556.36400000000003,4178.4700000000003,-2547.3200000000002,1419.96
28.0,10382.9,-6505.25,-2774.6799999999998,862.21500000000003,4193.6000000000004,-1932.6600000000001,1021.1
29.0,10051.4,-6539.3599999999997,-2644.3600000000001,1111.0599999999999,4122.3299999999999,-1286.49,627.75900000000001
30.0,9679.2199999999993,-6407.8900000000003,-2472.9200000000001,1303.6900000000001,3999.4299999999998,-568.20600000000002,203.971
31.0,9163.0300000000007,-6063.0200000000004,-2305.0500000000002,1307.1700000000001,3792.5999999999999,44.838500000000003,-139.65600000000001
32.0,8480.8799999999992,-5593.5200000000004,-2132.1799999999998,1174.1500000000001,3502.6799999999998,391.56400000000002,-317.28100000000001
33.0,7811.25,-5214.2399999999998,-1971.04,993.64099999999996,3167.0,663.42200000000003,-477.06799999999998
34.0,7094.3800000000001,-4689.6300000000001,-1704.75,777.88,2770.5599999999999,1073.03,-674.471
35.0,6239.0100000000002,-4036.1300000000001,-1436.24,489.41000000000003,2368.3600000000001,1286.97,-742.72799999999995
36.0,5457.9399999999996,-3425.4299999999998,-1173.51,275.137,2028.73,1331.29,-751.22400000000005
37.0,5084.5500000000002,-3009.1399999999999,-1025.21,70.992599999999996,1802.03,1483.6099999999999,-855.37300000000005
38.0,5223.3199999999997,-2838.1799999999998,-1016.36,-54.803199999999997,1732.8199999999999,1745.48,-1022.99
39.0,5706.46,-2849.0999999999999,-1095.78,-153.83500000000001,1757.5799999999999,2098.0799999999999,-1221.6900000000001
40.0,6345.5100000000002,-2844.6500000000001,-1180.52,-265.815,1788.52,2529.8699999999999,-1453.74
41.0,7096.8599999999997,-2718.8499999999999,-1189.0799999999999,-354.76400000000001,1764.8,3054.5799999999999,-1704.6900000000001
