Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
1.0,1.5949499999999999e-28,1.14761e-24,1.14746e-24,1.1476199999999999e-24,1.2447599999999999e-30,4.7753900000000002e-30,-1.9065200000000001e-29
2.0,1.3043500000000001e-28,1.1475899999999999e-24,1.14747e-24,1.1475899999999999e-24,-2.3065399999999999e-30,4.5870599999999998e-30,-1.4464699999999999e-29
3.0,1.0461799999999999e-28,1.1475700000000001e-24,1.14747e-24,1.1475700000000001e-24,-5.4028499999999998e-30,4.0303900000000002e-30,-1.0677e-29
4.0,8.5413699999999996e-29,1.14755e-24,1.14747e-24,1.14755e-24,-9.6159900000000006e-30,3.66416e-30,-7.7291599999999994e-30
5.0,6.8932700000000005e-29,1.1475400000000001e-24,1.14747e-24,1.1475400000000001e-24,-1.20302e-29,3.2748400000000002e-30,-5.2926900000000001e-30
6.0,5.7535000000000004e-29,1.14752e-24,1.14747e-24,1.14752e-24,-1.5079500000000001e-29,2.8094099999999998e-30,-3.3423999999999998e-30
7.0,4.8158499999999999e-29,1.1475100000000001e-24,1.14747e-24,1.1475100000000001e-24,-1.6671200000000001e-29,2.4811899999999999e-30,-1.9713300000000001e-30
8.0,1.49302e-28,1.14761e-24,1.14746e-24,1.14761e-24,-4.5835700000000003e-30,3.6066000000000001e-30,-1.6800899999999999e-29
9.0,1.25e-28,1.1475899999999999e-24,1.14747e-24,1.1475899999999999e-24,-5.4677799999999998e-30,3.2106899999999998e-30,-1.32705e-29
10.0,1.02387e-28,1.1475700000000001e-24,1.14747e-24,1.1475700000000001e-24,-8.3187100000000003e-30,3.0472499999999998e-30,-9.96162e-30
11.0,8.2714599999999996e-29,1.1475599999999999e-24,1.14747e-24,1.14755e-24,-1.0281600000000001e-29,2.6306e-30,-7.3364100000000006e-30
12.0,6.7922400000000005e-29,1.1475400000000001e-24,1.14747e-24,1.1475400000000001e-24,-1.2836200000000001e-29,2.34041e-30,-5.1108200000000001e-30
13.0,5.5003399999999999e-29,1.14752e-24,1.14747e-24,1.14752e-24,-1.4318299999999999e-29,2.0247600000000001e-30,-3.48044e-30
14.0,4.6589199999999999e-29,1.1475100000000001e-24,1.14747e-24,1.1475100000000001e-24,-1.5920299999999999e-29,1.54031e-30,-1.7140699999999999e-30
15.0,1.50412e-28,1.14761e-24,1.14747e-24,1.14761e-24,-1.41086e-30,5.4166400000000003e-30,-2.3197300000000001e-29
16.0,1.2247699999999999e-28,1.1475899999999999e-24,1.14747e-24,1.1475899999999999e-24,-3.7739599999999998e-30,5.0474399999999999e-30,-1.7217600000000001e-29
17.0,9.9719099999999997e-29,1.1475700000000001e-24,1.14747e-24,1.1475700000000001e-24,-7.2213700000000003e-30,4.5517200000000002e-30,-1.2251e-29
18.0,8.06466e-29,1.14755e-24,1.1474799999999999e-24,1.14755e-24,-1.01377e-29,3.9873799999999998e-30,-8.2757599999999996e-30
19.0,6.62781e-29,1.1475400000000001e-24,1.14747e-24,1.14753e-24,-1.3179800000000001e-29,3.5457599999999998e-30,-5.1140499999999999e-30
20.0,5.4745900000000005e-29,1.14752e-24,1.14747e-24,1.14752e-24,-1.5278300000000001e-29,2.9950399999999999e-30,-2.5594900000000002e-30
21.0,4.7062900000000001e-29,1.1475100000000001e-24,1.14747e-24,1.1475e-24,-1.73511e-29,2.4129300000000002e-30,-2.7401799999999998e-31
22.0,1.38493e-28,1.1476000000000001e-24,1.14747e-24,1.1476000000000001e-24,-6.2325699999999997e-30,3.3555700000000001e-30,-1.9639899999999999e-29
