Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
22.0,4929.3299999999999,3780.5500000000002,952.40300000000002,4960.0299999999997,-1551.3599999999999,-594.851,1047.4100000000001
23.0,4914.0500000000002,3611.8000000000002,829.82600000000002,5011.3299999999999,-1445.99,-527.94399999999996,1072.0
24.0,4894.4399999999996,3495.2199999999998,759.226,5097.5299999999997,-1346.0699999999999,-440.22800000000001,1080.3399999999999
25.0,4872.8299999999999,3463.6999999999998,747.83500000000004,5222.6899999999996,-1245.8099999999999,-332.31599999999997,1081.6600000000001
26.0,4856.6300000000001,3470.77,746.16399999999999,5338.1899999999996,-1153.05,-206.27799999999999,1075.77
27.0,3167.3499999999999,1892.0799999999999,676.471,2847.5599999999999,-1366.1700000000001,-337.24200000000002,-424.04000000000002
28.0,3228.7199999999998,1929.8,700.37300000000005,2926.4899999999998,-1413.4300000000001,-286.65100000000001,-389.26600000000002
29.0,3295.1100000000001,1981.51,728.31500000000005,3007.29,-1461.5599999999999,-235.35300000000001,-353.47300000000001
30.0,3361.25,2035.6099999999999,749.83600000000001,3074.0500000000002,-1509.6700000000001,-182.52799999999999,-313.00299999999999
31.0,3428.6399999999999,2107.4499999999998,778.98699999999997,3142.7800000000002,-1557.28,-130.97499999999999,-268.73700000000002
32.0,3494.8800000000001,2179.3000000000002,799.101,3195.1700000000001,-1603.1700000000001,-81.750699999999995,-219.56899999999999
33.0,3559.9000000000001,2268.1199999999999,827.404,3249.6900000000001,-1646.55,-36.724499999999999,-165.52000000000001
34.0,3622.27,2353.8299999999999,845.28099999999995,3287.7199999999998,-1686.24,2.6835,-106.30200000000001
35.0,3681.2199999999998,2452.8400000000001,870.44000000000005,3328.29,-1721.1199999999999,35.0458,-41.995399999999997
36.0,3735.6700000000001,2544.21,884.06799999999998,3353.71,-1749.97,59.366599999999998,27.1873
37.0,3784.6900000000001,2643.8499999999999,904.13800000000003,3383.73,-1771.5699999999999,74.937799999999996,100.789
38.0,3827.5100000000002,2730.04,911.46500000000003,3401.0599999999999,-1784.8299999999999,81.734800000000007,178.05799999999999
39.0,3863.3099999999999,2818.8000000000002,924.51199999999994,3426.29,-1788.6700000000001,80.141999999999996,258.05599999999998
40.0,3891.9499999999998,2888.8800000000001,924.43299999999999,3442.6500000000001,-1782.51,71.435199999999995,339.75999999999999
41.0,3912.4099999999999,2954.6599999999999,927.30899999999997,3467.7399999999998,-1765.49,57.404000000000003,421.363
42.0,3924.77,3000.52,918.93799999999999,3489.73,-1737.2,40.460799999999999,501.56599999999997
43.0,3928.9499999999998,3035.6500000000001,910.42600000000004,3519.4200000000001,-1698.05,22.9026,579.14400000000001
44.0,3926.1799999999998,3047.6100000000001,888.07299999999998,3543.4200000000001,-1648.9300000000001,8.2763500000000008,652.59500000000003
45.0,3914.5700000000002,3054.4699999999998,870.95299999999997,3578.4899999999998,-1589.8900000000001,-1.63747,719.73599999999999
46.0,3898.3499999999999,3039.3699999999999,836.08000000000004,3602.7199999999998,-1522.77,-2.79474,780.495
47.0,3873.3400000000001,3025.8099999999999,813.63300000000004,3638.3000000000002,-1449.6099999999999,3.6967500000000002,831.62699999999995
48.0,3847.5500000000002,2981.6700000000001,749.11400000000003,3636.5799999999999,-1367.6199999999999,22.385200000000001,878.56200000000001
49.0,3829.5999999999999,2914.8400000000001,654.24900000000002,3606.1300000000001,-1292.5,55.056199999999997,911.80999999999995
50.0,3798.5,2907.2199999999998,630.80499999999995,3626.0599999999999,-1218.28,92.662300000000002,933.63400000000001
51.0,3766.1999999999998,2943.98,634.30899999999997,3663.9699999999998,-1136.9000000000001,135.62,954.90700000000004
52.0,3748.4699999999998,2952.3499999999999,585.86000000000001,3647.71,-1062.9300000000001,186.262,970.93700000000001
53.0,2105.6199999999999,809.81899999999996,228.86099999999999,1937.46,-713.01800000000003,-414.471,-207.27199999999999
54.0,2157.52,825.87800000000004,252.77500000000001,2028.55,-751.95699999999999,-351.66199999999998,-202.876
55.0,2214.6300000000001,850.77599999999995,274.45800000000003,2113.4000000000001,-793.14800000000002,-286.50799999999998,-197.51599999999999
56.0,2271.9400000000001,885.96000000000004,297.30099999999999,2190.9200000000001,-835.87800000000004,-217.57499999999999,-187.96000000000001
57.0,2331.1199999999999,933.76700000000005,321.95299999999997,2262.8499999999999,-879.98099999999999,-147.22900000000001,-175.16200000000001
58.0,2390.1599999999999,989.221,343.95400000000001,2322.8899999999999,-924.61699999999996,-76.597200000000001,-157.999
59.0,2448.96,1058.2,368.84899999999999,2377.1900000000001,-969.07399999999996,-7.4869300000000001,-136.31899999999999
