Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
1.0,4.2661100000000001e-28,-1.8420900000000001e-25,-1.8465299999999999e-25,-1.84271e-25,-4.8990700000000002e-29,-5.2229599999999998e-30,-2.27212e-29
2.0,3.61537e-28,-1.84316e-25,-1.84691e-25,-1.84389e-25,-6.1210599999999997e-29,-2.3316099999999999e-30,-1.45281e-29
3.0,2.77615e-28,-1.8439399999999999e-25,-1.84673e-25,-1.84455e-25,-6.3354600000000001e-29,-9.18004e-31,-6.4327300000000005e-30
4.0,2.4854700000000001e-28,-1.8446899999999999e-25,-1.84699e-25,-1.84532e-25,-8.0086200000000003e-29,-5.7317599999999999e-31,-2.5719200000000001e-30
5.0,2.0494999999999999e-28,-1.84508e-25,-1.8467799999999999e-25,-1.84563e-25,-8.0321000000000003e-29,1.29394e-30,9.0015300000000007e-31
6.0,1.95437e-28,-1.8457500000000001e-25,-1.8471000000000001e-25,-1.8462899999999999e-25,-9.0208799999999999e-29,1.7909499999999999e-32,2.93689e-30
7.0,1.7656000000000001e-28,-1.8460100000000001e-25,-1.8469399999999999e-25,-1.84647e-25,-9.0625799999999998e-29,2.9105699999999999e-30,2.1312200000000001e-30
8.0,3.7643699999999999e-28,-1.84216e-25,-1.84582e-25,-1.8428300000000001e-25,-9.4905100000000005e-29,-9.1552399999999999e-30,-8.3392399999999994e-30
9.0,3.1217000000000002e-28,-1.8430199999999999e-25,-1.8459499999999999e-25,-1.84363e-25,-9.16853e-29,-9.1217799999999995e-30,-3.7468999999999999e-30
10.0,2.7519999999999998e-28,-1.8439300000000001e-25,-1.8463599999999999e-25,-1.84457e-25,-9.61906e-29,-6.7850500000000006e-30,2.5727499999999999e-31
11.0,2.2653599999999999e-28,-1.8444599999999999e-25,-1.8462600000000001e-25,-1.8450000000000001e-25,-9.2497900000000001e-29,-5.5099700000000002e-30,2.0934499999999999e-30
12.0,2.1134500000000002e-28,-1.8451800000000001e-25,-1.8466700000000001e-25,-1.84573e-25,-9.5836600000000004e-29,-5.0163999999999999e-30,3.9276499999999998e-30
13.0,1.7999000000000001e-28,-1.8455200000000001e-25,-1.84649e-25,-1.8459499999999999e-25,-9.1836800000000005e-29,-2.8359199999999998e-30,3.3929800000000002e-30
14.0,1.7404400000000001e-28,-1.84615e-25,-1.8469399999999999e-25,-1.8466099999999999e-25,-9.1935100000000003e-29,-4.5098399999999999e-30,6.8922699999999999e-30
15.0,4.1585700000000003e-28,-1.8422699999999999e-25,-1.84658e-25,-1.8429200000000001e-25,-5.4449399999999997e-29,-1.3866400000000001e-29,-2.2181799999999999e-29
16.0,3.3047100000000002e-28,-1.8432699999999999e-25,-1.84666e-25,-1.8438699999999999e-25,-5.8824000000000006e-29,-1.07811e-29,-1.08324e-29
17.0,2.78593e-28,-1.84406e-25,-1.84681e-25,-1.8446700000000001e-25,-7.0198099999999998e-29,-8.0315800000000005e-30,-1.61816e-30
18.0,2.3107700000000001e-28,-1.8446000000000001e-25,-1.84672e-25,-1.84514e-25,-7.5165499999999998e-29,-6.8336099999999996e-30,4.84557e-30
19.0,2.0908200000000001e-28,-1.84522e-25,-1.84689e-25,-1.8457500000000001e-25,-8.4585200000000002e-29,-4.9898300000000001e-30,9.0925199999999998e-30
20.0,1.8668300000000001e-28,-1.84558e-25,-1.84682e-25,-1.84605e-25,-8.6786899999999996e-29,-3.9923100000000002e-30,1.1916200000000001e-29
21.0,1.7854599999999999e-28,-1.8461700000000001e-25,-1.8470900000000001e-25,-1.8466099999999999e-25,-9.0787200000000005e-29,-4.3062300000000003e-30,1.6066699999999999e-29
22.0,3.4401400000000001e-28,-1.8424399999999999e-25,-1.8456899999999999e-25,-1.84296e-25,-9.2688399999999997e-29,-2.1590200000000001e-29,2.3497800000000001e-30
23.0,3.0224699999999999e-28,-1.8432799999999999e-25,-1.8460299999999999e-25,-1.8438300000000001e-25,-9.45268e-29,-1.8669200000000001e-29,6.8952199999999995e-30
24.0,2.5766199999999998e-28,-1.8439300000000001e-25,-1.8461199999999999e-25,-1.8444599999999999e-25,-9.2968200000000003e-29,-1.6541399999999999e-29,1.08246e-29
25.0,2.2845999999999999e-28,-1.84465e-25,-1.84641e-25,-1.84516e-25,-9.39907e-29,-1.35275e-29,1.3027600000000001e-29
26.0,1.9906000000000001e-28,-1.84507e-25,-1.8464e-25,-1.8455299999999999e-25,-9.1402400000000003e-29,-1.19201e-29,1.4058999999999999e-29
27.0,1.8485600000000001e-28,-1.8456800000000001e-25,-1.8467099999999999e-25,-1.84613e-25,-9.1821199999999998e-29,-9.9190700000000004e-30,1.5097799999999999e-29
28.0,1.6829600000000001e-28,-1.84599e-25,-1.84665e-25,-1.8463599999999999e-25,-9.0187900000000001e-29,-7.54982e-30,1.20112e-29
29.0,3.78306e-28,-1.84266e-25,-1.8465100000000001e-25,-1.84316e-25,-5.5345699999999997e-29,-2.0583799999999999e-29,-1.9394599999999999e-29
30.0,3.1338899999999998e-28,-1.8435100000000001e-25,-1.8466700000000001e-25,-1.8440299999999999e-25,-6.1410999999999996e-29,-1.69432e-29,-5.5762500000000001e-30
31.0,2.6058900000000002e-28,-1.84413e-25,-1.84664e-25,-1.8446199999999999e-25,-6.8369300000000001e-29,-1.4707999999999999e-29,4.6523499999999997e-30
32.0,2.26722e-28,-1.84474e-25,-1.84674e-25,-1.8452099999999999e-25,-7.6840800000000004e-29,-1.17433e-29,1.25146e-29
33.0,2.0036700000000001e-28,-1.84516e-25,-1.8467099999999999e-25,-1.8455900000000001e-25,-8.1264600000000003e-29,-1.0457399999999999e-29,1.7665299999999999e-29
34.0,1.87194e-28,-1.8457099999999999e-25,-1.84689e-25,-1.8461199999999999e-25,-8.6882199999999997e-29,-8.4143399999999997e-30,2.1456600000000001e-29
35.0,1.7493799999999999e-28,-1.8460399999999999e-25,-1.84688e-25,-1.84641e-25,-8.88705e-29,-7.5202400000000002e-30,2.1294599999999999e-29
36.0,3.23712e-28,-1.84282e-25,-1.8457899999999999e-25,-1.84322e-25,-8.9315800000000003e-29,-2.9006300000000003e-29,1.23657e-29
37.0,2.8384999999999998e-28,-1.84347e-25,-1.84597e-25,-1.84389e-25,-8.9623600000000004e-29,-2.60488e-29,1.7087e-29
