Label,U_Magnitude,U_U1,U_U2,U_U3
2588.0,0.0015188300000000001,-0.000945049,0.00116833,-0.00022075600000000001
2589.0,0.0015263900000000001,-0.00072107599999999997,0.0013284,-0.00021278000000000001
2590.0,0.0015637699999999999,-0.00044585399999999998,0.00148441,-0.00020769699999999999
2591.0,0.0016585599999999999,-0.000102478,0.00164376,-0.000195902
2592.0,0.00182361,0.00026173,0.0017947799999999999,-0.000189316
2593.0,0.0020752100000000001,0.00068982400000000001,0.0019489500000000001,-0.000179457
2594.0,0.00148448,-0.00089217699999999997,0.0011735199999999999,-0.000174785
2595.0,0.0015078299999999999,-0.00067977399999999996,0.00133271,-0.00018799999999999999
2596.0,0.00156883,-0.000413354,0.0015003900000000001,-0.000198044
2597.0,0.0016878100000000001,-9.1444899999999996e-05,0.0016714900000000001,-0.00021550200000000001
2598.0,0.0018732899999999999,0.00026895800000000002,0.0018393800000000001,-0.00023146000000000001
2599.0,0.0021317300000000001,0.000662004,0.0020100700000000001,-0.000256214
2600.0,0.0014796500000000001,-0.00082401499999999999,0.00122069,-0.00014244799999999999
2601.0,0.0015290600000000001,-0.00062964900000000003,0.00138321,-0.000168214
2602.0,0.0016163600000000001,-0.00036727800000000002,0.0015608600000000001,-0.00020357799999999999
2603.0,0.0017603899999999999,-7.4906600000000005e-05,0.0017424999999999999,-0.00023887299999999999
2604.0,0.0019670500000000001,0.000273563,0.0019266699999999999,-0.000287084
2605.0,0.00223384,0.00064072900000000004,0.0021132799999999999,-0.00033697000000000002
2606.0,0.0015126600000000001,-0.00075276399999999995,0.0013068699999999999,-0.00011653400000000001
2607.0,0.00158537,-0.00056055199999999997,0.0014740700000000001,-0.00016214300000000001
2608.0,0.00170067,-0.00032895199999999998,0.0016551599999999999,-0.00021100700000000001
2609.0,0.0018705200000000001,-4.0082e-05,0.00184969,-0.00027548500000000001
2610.0,0.00208931,0.00026638500000000001,0.00204361,-0.00034340899999999998
2611.0,0.0023683200000000001,0.00062441799999999996,0.00224376,-0.00042963300000000001
2612.0,0.0015820700000000001,-0.00067280900000000002,0.00142822,-0.000102326
2613.0,0.00167742,-0.00050326099999999996,0.00159239,-0.000157362
2614.0,0.0018155999999999999,-0.00027796,0.00177951,-0.00022911700000000001
2615.0,0.0020035500000000002,-2.7015599999999999e-05,0.0019794399999999998,-0.00030873400000000002
2616.0,0.0022404299999999999,0.00027432599999999998,0.00218564,-0.00040898900000000001
2617.0,0.0025145100000000002,0.00058008300000000001,0.0023924100000000002,-0.00051249399999999995
2618.0,0.0016784199999999999,-0.00061359000000000001,0.00155967,-8.9656199999999997e-05
2619.0,0.00178638,-0.00045312500000000002,0.0017207699999999999,-0.00015738899999999999
2620.0,0.00194217,-0.00025406199999999999,0.00191052,-0.00023955999999999999
2621.0,0.00214496,-1.0007799999999999e-05,0.0021171100000000002,-0.000344433
2622.0,0.00238696,0.00024979800000000002,0.00232906,-0.000458997
2623.0,0.0026726800000000002,0.00056126400000000001,0.0025419100000000001,-0.00060571099999999999
2624.0,0.0027782699999999998,0.000490586,0.0026330199999999998,-0.00073844999999999998
2625.0,0.0027316699999999998,0.00043442300000000002,0.00258333,-0.00077441399999999996
2626.0,0.0026858300000000002,0.00040209600000000001,0.0025231799999999999,-0.00082797700000000003
2627.0,0.0026420900000000002,0.00034693300000000001,0.0024775499999999998,-0.00084971199999999997
2628.0,0.00260853,0.00030832400000000001,0.0024370199999999998,-0.00087767599999999998
2629.0,0.0026272600000000002,0.000250058,0.0024513199999999999,-0.00091157499999999997
2630.0,0.0024737000000000001,0.00022122600000000001,0.0024049800000000001,-0.00053510199999999997
2631.0,0.00242202,0.000205909,0.0023476399999999998,-0.00055887099999999996
2632.0,0.00236258,0.00017426799999999999,0.0022888399999999999,-0.00055916799999999997
2633.0,0.0023117099999999998,0.000158126,0.0022366299999999999,-0.00056258399999999998
2634.0,0.00227859,0.000136513,0.0022071299999999999,-0.00054946400000000005
