Label,X,Y,Z
305225.0,-5200000.0,0.0,0.0
305226.0,0.0,0.0,-5200000.0
305227.0,0.0,-5200000.0,0.0
305228.0,-3480000.0,0.0,0.0
305229.0,0.0,0.0,-3480000.0
305230.0,0.0,-3480000.0,0.0
305231.0,5200000.0,0.0,0.0
305232.0,0.0,5200000.0,0.0
305233.0,3480000.0,0.0,0.0
305234.0,0.0,3480000.0,0.0
305235.0,0.0,0.0,5200000.0
305236.0,0.0,0.0,3480000.0
305237.0,-240153.984,-5194451.5,0.0
305238.0,-479795.469,-5177817.5,0.0
305239.0,-718413.062,-5150134.0,0.0
305240.0,-955497.5,-5111460.0,0.0
305241.0,-1190542.88,-5061878.0,0.0
305242.0,-1423047.5,-5001493.5,0.0
305243.0,-1652515.38,-4930435.5,0.0
305244.0,-1878456.62,-4848855.5,0.0
305245.0,-2100389.25,-4756928.0,0.0
305246.0,-2317839.5,-4654849.0,0.0
305247.0,-2530343.25,-4542836.5,0.0
305248.0,-2737447.25,-4421129.0,0.0
305249.0,-2938709.25,-4289987.0,0.0
305250.0,-3133700.0,-4149689.5,0.0
305251.0,-3322003.5,-4000536.75,0.0
305252.0,-3503217.25,-3842846.25,0.0
305253.0,-3676955.25,-3676955.25,0.0
305254.0,-3842846.25,-3503217.25,0.0
305255.0,-4000536.75,-3322003.5,0.0
305256.0,-4149689.5,-3133700.0,0.0
305257.0,-4289987.0,-2938709.25,0.0
305258.0,-4421129.0,-2737447.25,0.0
305259.0,-4542836.5,-2530343.25,0.0
305260.0,-4654849.0,-2317839.5,0.0
305261.0,-4756928.0,-2100389.25,0.0
305262.0,-4848855.5,-1878456.62,0.0
305263.0,-4930435.5,-1652515.38,0.0
305264.0,-5001493.5,-1423047.5,0.0
305265.0,-5061878.0,-1190542.88,0.0
305266.0,-5111460.0,-955497.5,0.0
305267.0,-5150134.0,-718413.062,0.0
305268.0,-5177817.5,-479795.469,0.0
305269.0,-5194451.5,-240153.984,0.0
305270.0,-5194451.5,0.0,-240153.984
305271.0,-5177817.5,0.0,-479795.469
305272.0,-5150134.0,0.0,-718413.062
305273.0,-5111460.0,0.0,-955497.5
305274.0,-5061878.0,0.0,-1190542.88
305275.0,-5001493.5,0.0,-1423047.5
305276.0,-4930435.5,0.0,-1652515.38
305277.0,-4848855.5,0.0,-1878456.62
305278.0,-4756928.0,0.0,-2100389.25
305279.0,-4654849.0,0.0,-2317839.5
305280.0,-4542836.5,0.0,-2530343.25
305281.0,-4421129.0,0.0,-2737447.25
305282.0,-4289987.0,0.0,-2938709.25
305283.0,-4149689.5,0.0,-3133700.0
305284.0,-4000536.75,0.0,-3322003.5
305285.0,-3842846.25,0.0,-3503217.25
305286.0,-3676955.25,0.0,-3676955.25
305287.0,-3503217.25,0.0,-3842846.25
305288.0,-3322003.5,0.0,-4000536.75
305289.0,-3133700.0,0.0,-4149689.5
305290.0,-2938709.25,0.0,-4289987.0
305291.0,-2737447.25,0.0,-4421129.0
305292.0,-2530343.25,0.0,-4542836.5
305293.0,-2317839.5,0.0,-4654849.0
305294.0,-2100389.25,0.0,-4756928.0
305295.0,-1878456.62,0.0,-4848855.5
305296.0,-1652515.38,0.0,-4930435.5
305297.0,-1423047.5,0.0,-5001493.5
305298.0,-1190542.88,0.0,-5061878.0
305299.0,-955497.5,0.0,-5111460.0
305300.0,-718413.062,0.0,-5150134.0
305301.0,-479795.469,0.0,-5177817.5
305302.0,-240153.984,0.0,-5194451.5
305303.0,-5008889.0,0.0,0.0
305304.0,-4817778.0,0.0,0.0
305305.0,-4626666.5,0.0,0.0
305306.0,-4435555.5,0.0,0.0
305307.0,-4244444.5,0.0,0.0
305308.0,-4053333.25,0.0,0.0
305309.0,-3862222.25,0.0,0.0
305310.0,-3671111.0,0.0,0.0
305311.0,0.0,-240153.984,-5194451.5
305312.0,0.0,-479795.469,-5177817.5
305313.0,0.0,-718413.062,-5150134.0
305314.0,0.0,-955497.5,-5111460.0
305315.0,0.0,-1190542.88,-5061878.0
305316.0,0.0,-1423047.5,-5001493.5
305317.0,0.0,-1652515.38,-4930435.5
305318.0,0.0,-1878456.62,-4848855.5
305319.0,0.0,-2100389.25,-4756928.0
305320.0,0.0,-2317839.5,-4654849.0
305321.0,0.0,-2530343.25,-4542836.5
305322.0,0.0,-2737447.25,-4421129.0
305323.0,0.0,-2938709.25,-4289987.0
305324.0,0.0,-3133700.0,-4149689.5
305325.0,0.0,-3322003.5,-4000536.75
305326.0,0.0,-3503217.25,-3842846.25
305327.0,0.0,-3676955.25,-3676955.25
305328.0,0.0,-3842846.25,-3503217.25
305329.0,0.0,-4000536.75,-3322003.5
305330.0,0.0,-4149689.5,-3133700.0
305331.0,0.0,-4289987.0,-2938709.25
305332.0,0.0,-4421129.0,-2737447.25
305333.0,0.0,-4542836.5,-2530343.25
305334.0,0.0,-4654849.0,-2317839.5
305335.0,0.0,-4756928.0,-2100389.25
305336.0,0.0,-4848855.5,-1878456.62
305337.0,0.0,-4930435.5,-1652515.38
305338.0,0.0,-5001493.5,-1423047.5
305339.0,0.0,-5061878.0,-1190542.88
305340.0,0.0,-5111460.0,-955497.5
305341.0,0.0,-5150134.0,-718413.062
305342.0,0.0,-5177817.5,-479795.469
305343.0,0.0,-5194451.5,-240153.984
305344.0,0.0,0.0,-5008889.0
305345.0,0.0,0.0,-4817778.0
305346.0,0.0,0.0,-4626666.5
305347.0,0.0,0.0,-4435555.5
305348.0,0.0,0.0,-4244444.5
305349.0,0.0,0.0,-4053333.25
305350.0,0.0,0.0,-3862222.25
305351.0,0.0,0.0,-3671111.0
305352.0,0.0,-3671111.0,0.0
305353.0,0.0,-3862222.25,0.0
305354.0,0.0,-4053333.25,0.0
305355.0,0.0,-4244444.5,0.0
305356.0,0.0,-4435555.5,0.0
305357.0,0.0,-4626666.5,0.0
305358.0,0.0,-4817778.0,0.0
305359.0,0.0,-5008889.0,0.0
305360.0,-3476286.75,0.0,-160718.438
305361.0,-3465155.0,0.0,-321093.906
305362.0,-3446628.25,0.0,-480784.125
305363.0,-3420746.5,0.0,-639448.312
305364.0,-3387564.5,0.0,-796747.938
305365.0,-3347153.25,0.0,-952347.188
305366.0,-3299599.0,0.0,-1105914.12
305367.0,-3245003.25,0.0,-1257121.0
305368.0,-3183482.75,0.0,-1405645.12
305369.0,-3115168.25,0.0,-1551169.5
305370.0,-3040206.0,0.0,-1693383.62
305371.0,-2958755.75,0.0,-1831983.88
305372.0,-2870991.25,0.0,-1966674.75
305373.0,-2777100.0,0.0,-2097168.5
305374.0,-2677282.25,0.0,-2223187.0
305375.0,-2571751.0,0.0,-2344460.75
305376.0,-2460731.5,0.0,-2460731.5
305377.0,-2344460.75,0.0,-2571751.0
305378.0,-2223187.0,0.0,-2677282.25
305379.0,-2097168.5,0.0,-2777100.0
305380.0,-1966674.75,0.0,-2870991.25
305381.0,-1831983.88,0.0,-2958755.75
305382.0,-1693383.62,0.0,-3040206.0
305383.0,-1551169.5,0.0,-3115168.25
305384.0,-1405645.12,0.0,-3183482.75
305385.0,-1257121.0,0.0,-3245003.25
305386.0,-1105914.12,0.0,-3299599.0
305387.0,-952347.188,0.0,-3347153.25
305388.0,-796747.938,0.0,-3387564.5
305389.0,-639448.312,0.0,-3420746.5
305390.0,-480784.125,0.0,-3446628.25
305391.0,-321093.906,0.0,-3465155.0
305392.0,-160718.438,0.0,-3476286.75
305393.0,-3476286.75,-160718.438,0.0
305394.0,-3465155.0,-321093.906,0.0
305395.0,-3446628.25,-480784.125,0.0
305396.0,-3420746.5,-639448.312,0.0
305397.0,-3387564.5,-796747.938,0.0
305398.0,-3347153.25,-952347.188,0.0
305399.0,-3299599.0,-1105914.12,0.0
305400.0,-3245003.25,-1257121.0,0.0
305401.0,-3183482.75,-1405645.12,0.0
305402.0,-3115168.25,-1551169.5,0.0
305403.0,-3040206.0,-1693383.62,0.0
305404.0,-2958755.75,-1831983.88,0.0
305405.0,-2870991.25,-1966674.75,0.0
305406.0,-2777100.0,-2097168.5,0.0
305407.0,-2677282.25,-2223187.0,0.0
305408.0,-2571751.0,-2344460.75,0.0
305409.0,-2460731.5,-2460731.5,0.0
305410.0,-2344460.75,-2571751.0,0.0
305411.0,-2223187.0,-2677282.25,0.0
305412.0,-2097168.5,-2777100.0,0.0
305413.0,-1966674.75,-2870991.25,0.0
305414.0,-1831983.88,-2958755.75,0.0
305415.0,-1693383.62,-3040206.0,0.0
305416.0,-1551169.5,-3115168.25,0.0
305417.0,-1405645.12,-3183482.75,0.0
305418.0,-1257121.0,-3245003.25,0.0
305419.0,-1105914.12,-3299599.0,0.0
305420.0,-952347.188,-3347153.25,0.0
305421.0,-796747.938,-3387564.5,0.0
305422.0,-639448.312,-3420746.5,0.0
305423.0,-480784.125,-3446628.25,0.0
305424.0,-321093.906,-3465155.0,0.0
